STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
87078099999,ALFEREZ ARMANDO RODRIGUEZ,1957-06-30,2020-04-07,null,AR,-24.721367,-60.548836,129.84
87828099999,ALMIRANTE ZAR,1957-06-30,2020-04-07,null,AR,-43.2105,-65.270319,42.97
87344099999,AMBROSIO L V TARAVELLA,1957-06-30,2020-04-07,null,AR,-31.323619,-64.207953,488.89
87761099999,AVIADOR C CAMPOS,1981-06-02,2019-12-11,null,AR,-40.075383,-71.137294,783.03
87641099999,AZUL AERO,1997-01-01,2020-04-07,null,AR,-36.8333333,-59.8833333,146
87642099999,AZUL AIRPORT,1957-06-30,2020-01-05,null,AR,-36.75,-59.8333333,132
87649099999,BENITO JUAREZ,1981-01-04,1989-12-23,null,AR,-37.7166666,-59.7833333,207
87163099999,BERNARDO DE IRIGOYE,2017-03-02,2017-03-02,null,AR,-26.25,-53.8166667,815
87639099999,BOLIVAR,1973-01-16,1988-11-24,null,AR,-36.187061,-61.076144,93.87
87640099999,BOLIVAR AERO,1989-04-06,2020-04-07,null,AR,-36.2,-61.0666666,94
87585099999,BUENOS AIRES (OBS),1973-01-01,2020-04-07,null,AR,-34.5833333,-58.4833333,25
87222099999,CATAMARCA,1973-07-02,2020-04-07,null,AR,-28.595556,-65.751667,463.9
87220099999,CATAMARCA(OLD SITE),1973-01-01,1973-04-25,null,AR,-28.45,-65.767,537
87097099999,CATARATAS DEL IGUAZU,1962-07-10,2020-04-07,null,AR,-25.737281,-54.473444,279.19
83827099999,CATARATAS INTL,1953-07-06,2020-04-07,null,BR,-25.59615,-54.487206,239.87
87763099999,CATEDRAL 2000,1957-06-30,1989-11-30,null,AR,-41.25,-71.617,1955
87257099999,CERES,1957-06-30,2020-04-07,null,AR,-29.8833333,-61.95,88
87320599999,CHAMICAL,1994-07-24,2000-11-01,null,AR,-30.345278,-66.29361,458.11
87320099999,CHAMICAL AERO,1973-06-18,2020-04-07,null,AR,-30.3666666,-66.2833333,467
87322099999,CHEPES,1973-01-01,1992-06-20,null,AR,-31.3333333,-66.6,658
85886099999,CHILE CHICO,1964-09-07,2020-04-07,null,CI,-46.583341,-71.687405,326.13
87214199999,CHILECITO,1996-02-07,1996-12-09,null,AR,-29.217,-67.433,950
87214099999,CHILECITO,1975-01-31,2000-10-30,null,AR,-29.223888,-67.438889,950.06
87213099999,CHILECITO AERO,1985-04-01,2017-03-02,null,AR,-29.2333333,-67.4333333,945
87748099999,COMANDANTE ESPORA,1976-03-02,1984-12-06,null,AR,-38.733,-62.167,74
87750099999,COMANDANTE ESPORA,1960-01-01,2020-04-07,null,AR,-38.724967,-62.169317,74.98
